gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,16,2,3,10,2983177.0,0.0,6129894,2905419,0
0.003,16,3,3,10,2832331.0,0.0,5940788,2873288,0
0.003,16,4,3,10,0.0,0.0,6206202,5959092,0
0.003,16,5,3,10,2006865.0,0.0,5983868,3736186,0
0.003,16,6,3,10,2989643.0,0.0,5810351,2573432,0
0.003,16,7,3,10,988604.0,3971.333333333334,5984291,4748215,0.004017112345624066
0.003,16,8,3,10,0.0,0.0,5923442,5676408,0
0.003,16,9,3,10,2989060.0,0.0,6050351,2820415,0
0.003,17,0,3,10,5984.0,1994.6666666666665,6038142,5784889,0.3333333333333333
0.003,17,1,3,10,2982998.0,0.0,6466860,3243212,0
0.003,17,2,3,10,2977408.0,0.0,6028187,2815988,0
0.003,17,3,3,10,2995753.0,1988.0,6081528,2844826,0.0006636061117188233
0.003,17,4,3,10,0.0,0.0,6215373,5968487,0
0.003,17,5,3,10,0.0,0.0,5863219,5622369,0
0.003,17,6,3,10,2987916.0,0.0,6096905,2861945,0
0.003,17,7,3,10,2984589.0,2000.6666666666667,6359748,3140319,0.000670332386357608
0.003,17,8,3,10,0.0,0.0,5978966,5731718,0
0.003,17,9,3,10,2989258.0,0.0,6200606,2964364,0
0.003,18,0,3,10,0.0,0.0,5785606,5544481,0
0.003,18,1,3,10,2995355.0,0.0,5990578,2748214,0
0.003,18,2,3,10,2982866.0,0.0,5881856,2657812,0
0.003,18,3,3,10,2988907.0,0.0,6237730,3001850,0
0.003,18,4,3,10,0.0,0.0,6142088,5894890,0
0.003,18,5,3,10,1494773.0,0.0,6329543,4587526,0
0.003,18,6,3,10,2990089.0,0.0,6233390,3008354,0
0.003,18,7,3,10,1488872.0,2017.3333333333335,6088435,4352329,0.0013549407426114088
0.003,18,8,3,10,0.0,0.0,6037220,5796324,0
0.003,18,9,3,10,2989451.0,0.0,6297978,3061142,0
0.003,19,0,3,10,0.0,0.0,5826650,5585638,0
0.003,19,1,3,10,2995355.0,0.0,6129662,2893292,0
0.003,19,2,3,10,2982181.0,0.0,5958632,2729286,0
0.003,19,3,3,10,2989647.0,0.0,5961931,2724984,0
0.003,19,4,3,10,6028.0,1507.0,6057611,5810299,0.25
0.003,19,5,3,10,1054933.0,0.0,6152777,4862859,0
0.003,19,6,3,10,2988089.0,0.0,5777413,2548406,0
0.003,19,7,3,10,1928853.0,4040.666666666666,6068318,3892408,0.002094854645048983
0.003,19,8,3,10,0.0,0.0,5815653,5568665,0
0.003,19,9,3,10,2977935.0,0.0,5431008,2211961,0
0.004,0,0,4,10,5965.0,1988.3333333333333,5731704,5484513,0.3333333333333333
0.004,0,1,4,10,3983753.0,0.0,6213248,1988423,0
0.004,0,2,4,10,3983914.0,0.0,5919501,1706654,0
0.004,0,3,4,10,3983700.0,0.0,5893026,1668343,0
0.004,0,4,4,10,0.0,0.0,5773645,5526394,0
0.004,0,5,4,10,1699579.0,2009.0,5810894,3876475,0.0011820574389304645
0.004,0,6,4,10,3983218.0,0.0,5838761,1626541,0
0.004,0,7,4,10,2278671.0,0.0,5967858,3447819,0
0.004,0,8,4,10,0.0,0.0,5918724,5677537,0
0.004,0,9,4,10,3990906.0,0.0,6225611,1993651,0
0.004,1,0,4,10,2838588.0,1999.3333333333335,6250368,3164589,0.0007043407966683906
0.004,1,1,4,10,3972713.0,0.0,5895341,1681789,0
0.004,1,2,4,10,3977751.0,0.0,6238319,2025554,0
0.004,1,3,4,10,1139334.0,0.0,6022389,4641416,0
0.004,1,4,4,10,6037.0,3018.5,5996761,5743520,0.5
0.004,1,5,4,10,3964396.0,0.0,5904107,1698654,0
0.004,1,6,4,10,3989982.0,0.0,5737133,1505993,0
