transmitting,holding,state,prob,loosing,rate
5,7,c,1.4236441997367362e-05,0,333.33
5,8,c,1.3558508439978582e-05,0,333.33
5,9,c,1.2912857802583684e-05,0,333.33
5,10,c,1.2297952784570099e-05,0,333.33
5,11,c,1.1712329292518253e-05,0,333.33
5,12,c,1.1154592952018191e-05,0,333.33
5,13,c,1.0623415788630097e-05,0,333.33
5,14,c,1.011753306482453e-05,0,333.33
5,15,c,9.6357402698199e-06,0,333.33
5,16,c,9.17689025111901e-06,0,333.33
5,17,c,8.739890482944512e-06,0,333.33
5,18,c,8.32370046541348e-06,0,333.33
5,19,c,7.92732924663715e-06,0,333.33
5,20,c,7.549833063592149e-06,0,333.33
5,21,c,7.190313094574253e-06,0,333.33
5,22,c,6.847913319777442e-06,0,333.33
5,23,c,6.52181848250218e-06,0,333.33
5,24,c,6.211252148379217e-06,0,333.33
5,25,c,5.915474856170345e-06,0,333.33
5,26,c,5.63378235804083e-06,0,333.33
5,27,c,5.365503941577466e-06,0,333.33
5,28,c,5.110000833887587e-06,0,333.33
5,29,c,4.866664679880448e-06,0,333.33
5,30,c,4.6349160942088085e-06,0,333.33
5,31,c,4.414203281567773e-06,0,333.33
5,32,c,4.204000722991867e-06,0,333.33
5,33,c,4.003807924467267e-06,0,333.33
5,34,c,3.813148225320053e-06,0,333.33
5,35,c,3.631567663214564e-06,0,333.33
5,36,c,3.4586338933029323e-06,0,333.33
5,37,c,3.293935158987215e-06,0,333.33
5,38,c,3.1370793110939995e-06,0,333.33
5,39,c,2.9876928747335826e-06,0,333.33
5,40,c,2.8454201594451013e-06,0,333.33
5,41,c,2.7099224128466692e-06,0,333.33
5,42,c,2.5808770136756956e-06,0,333.33
5,43,c,2.4579767037002022e-06,0,333.33
5,44,c,2.3409288563133907e-06,0,333.33
5,45,c,2.229454779661266e-06,0,333.33
5,46,c,2.1232890529660035e-06,0,333.33
5,47,c,2.022178894869558e-06,0,333.33
5,48,c,1.925883561256566e-06,0,333.33
5,49,c,1.8341737721537226e-06,0,333.33
5,50,c,1.7468311657628394e-06,0,333.33
5,50,c,3.493620407738051e-05,1,333.33
6,0,c,2.2511207003236264e-05,0,333.33
6,1,c,2.1439232513853815e-05,0,333.33
6,2,c,2.0418305012107236e-05,0,333.33
6,3,c,1.9445993661340707e-05,0,333.33
6,4,c,1.8519983380255136e-05,0,333.33
6,5,c,1.763806933060394e-05,0,333.33
6,6,c,1.6798151668292333e-05,0,333.33
6,7,c,1.5998230542199075e-05,0,333.33
6,8,c,1.5236401333594107e-05,0,333.33
6,9,c,1.4510850120882195e-05,0,333.33
6,10,c,1.3819849360884233e-05,0,333.33
6,11,c,1.3161753775012797e-05,0,333.33
6,12,c,1.253499643228717e-05,0,333.33
6,13,c,1.1938085018431404e-05,0,333.33
6,14,c,1.1369598282491708e-05,0,333.33
6,15,c,1.082818265286697e-05,0,333.33
6,16,c,1.0312549014553206e-05,0,333.33
6,17,c,9.821469639621435e-06,0,333.33
6,18,c,9.353775264084719e-06,0,333.33
6,19,c,8.90835230382222e-06,0,333.33
6,20,c,8.48414020317408e-06,0,333.33
6,21,c,8.08012890956565e-06,0,333.33
6,22,c,7.695356468829843e-06,0,333.33
6,23,c,7.328906734767768e-06,0,333.33
6,24,c,6.979907187392689e-06,0,333.33
6,25,c,6.647526856076759e-06,0,333.33
6,26,c,6.330974340393926e-06,0,333.33
6,27,c,6.029495926313343e-06,0,333.33
6,28,c,5.742373791307131e-06,0,333.33
6,29,c,5.468924295165245e-06,0,333.33
6,30,c,5.208496352389963e-06,0,333.33
6,31,c,4.960469881914557e-06,0,333.33
6,32,c,4.724254330761589e-06,0,333.33
6,33,c,4.499287267794615e-06,0,333.33
6,34,c,4.285033044531113e-06,0,333.33
6,35,c,4.080981519908468e-06,0,333.33
6,36,c,3.886646845578431e-06,0,333.33
6,37,c,3.7015663091335516e-06,0,333.33
6,38,c,3.5252992323631494e-06,0,333.33
6,39,c,3.3574259217557505e-06,0,333.33
6,40,c,3.1975466697494286e-06,0,333.33
6,41,c,3.0452808023678807e-06,0,333.33
6,42,c,2.9002657735516186e-06,0,333.33
6,43,c,2.7621563011525517e-06,0,333.33
6,44,c,2.6306235455013648e-06,0,333.33
6,45,c,2.505354325993715e-06,0,333.33
6,46,c,2.3860503755861083e-06,0,333.33
6,47,c,2.2724276305421325e-06,0,333.33
6,48,c,2.164215554271229e-06,0,333.33
6,49,c,2.061156492934607e-06,0,333.33
6,50,c,1.9630050620508733e-06,0,333.33
6,50,c,3.925963012094935e-05,1,333.33
7,0,c,2.5278609201659466e-05,0,333.33
7,1,c,2.4074852149157793e-05,0,333.33
7,2,c,2.2928417516124543e-05,0,333.33
7,3,c,2.1836575632451674e-05,0,333.33
7,4,c,2.079672681364162e-05,0,333.33
7,5,c,1.9806395171030203e-05,0,333.33
7,6,c,1.886322271714694e-05,0,333.33
7,7,c,1.796496375043913e-05,0,333.33
7,8,c,1.7109479509232127e-05,0,333.33
7,9,c,1.6294733078332325e-05,0,333.33
7,10,c,1.551878453995472e-05,0,333.33
7,11,c,1.4779786354196892e-05,0,333.33
7,12,c,1.4075978960513262e-05,0,333.33
7,13,c,1.3405686587629222e-05,0,333.33
7,14,c,1.2767313263960562e-05,0,333.33
7,15,c,1.215933901739767e-05,0,333.33
7,16,c,1.1580316256275909e-05,0,333.33
7,17,c,1.1028866322791516e-05,0,333.33
7,18,c,1.0503676210011752e-05,0,333.33
7,19,c,1.0003495436047818e-05,0,333.33
7,20,c,9.527133066357185e-06,0,333.33
7,21,c,9.073454878319317e-06,0,333.33
7,22,c,8.6413806604228e-06,0,333.33
7,23,c,8.22988164046463e-06,0,333.33
7,24,c,7.83797803579897e-06,0,333.33
7,25,c,7.464736720853145e-06,0,333.33
7,26,c,7.109269004993616e-06,0,333.33
7,27,c,6.770728516657142e-06,0,333.33
7,28,c,6.448309188193796e-06,0,333.33
7,29,c,6.141243336538741e-06,0,333.33
7,30,c,5.848799835472142e-06,0,333.33
7,31,c,5.570282374611705e-06,0,333.33
7,32,c,5.305027801469012e-06,0,333.33
7,33,c,5.052404542819038e-06,0,333.33
7,34,c,4.811811100697365e-06,0,333.33
7,35,c,4.5826746200304695e-06,0,333.33
7,36,c,4.364449525121593e-06,0,333.33
7,37,c,4.156616220045911e-06,0,333.33
7,38,c,3.958679852259633e-06,0,333.33
7,39,c,3.7701691334830143e-06,0,333.33
7,40,c,3.59063521823907e-06,0,333.33
7,41,c,3.41965063467867e-06,0,333.33
7,42,c,3.2568082672747744e-06,0,333.33
7,43,c,3.1017203868354306e-06,0,333.33
7,44,c,2.9540177280848743e-06,0,333.33
7,45,c,2.8133486095624374e-06,0,333.33
7,46,c,2.679378097089369e-06,0,333.33
7,47,c,2.551787205676383e-06,0,333.33
7,48,c,2.4302721404864896e-06,0,333.33
7,49,c,2.3145435730920903e-06,0,333.33
7,50,c,2.2043259528213428e-06,0,333.33
7,50,c,4.4085990018962524e-05,1,333.33
8,0,c,2.835277653340874e-05,0,333.33
8,1,c,2.7002628887295745e-05,0,333.33
8,2,c,2.5716774720949907e-05,0,333.33
8,3,c,2.4492152405295387e-05,0,333.33
8,4,c,2.332584610441721e-05,0,333.33
8,5,c,2.2215078833605266e-05,0,333.33
8,6,c,2.1157205846747746e-05,0,333.33
