gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.012,1,9,6,10,2783759.0,5983.0,2789716,0,0.00214925214431278
0.015,0,0,7,10,2928322.0,506071.6666666666,2934345,0,0.17281967852806715
0.015,0,1,7,10,2753577.0,153576.5,2753577,0,0.05577345394735647
0.015,0,2,7,10,2754255.0,195875.5,2754255,0,0.07111741650646
0.015,0,3,7,10,2844352.0,190982.33333333334,2844352,0,0.06714440875578456
0.015,0,4,7,10,2693714.0,1140286.5,2693714,0,0.4233138707375764
0.015,0,5,7,10,2723667.0,210820.66666666666,2723667,0,0.07740324594257178
0.015,0,6,7,10,2916368.0,48323.0,2916368,0,0.01656958243952752
0.015,0,7,7,10,2717654.0,464398.6666666667,2717654,0,0.17088218981028
0.015,0,8,7,10,2983078.0,1155730.25,2983078,0,0.38742877323355274
0.015,0,9,7,10,2615245.0,54180.00000000001,2621282,0,0.020716988274521127
0.015,1,0,7,10,2735014.0,477879.0,2741024,0,0.17472634509366314
0.015,1,1,7,10,3018456.0,138649.0,3018456,0,0.04593374891003878
0.015,1,2,7,10,2556769.0,135741.5,2556769,0,0.05309103012434835
0.015,1,3,7,10,2765884.0,148673.33333333334,2765884,0,0.05375255554221845
0.015,1,4,7,10,2922857.0,1244522.25,2928867,0,0.42578964691053994
0.015,1,5,7,10,2761070.0,199009.00000000003,2761070,0,0.07207676734019783
0.015,1,6,7,10,2958276.0,54163.0,2964278,0,0.018308974551394123
0.015,1,7,7,10,2742197.0,516542.3333333333,2742197,0,0.18836806157009628
0.015,1,8,7,10,3056565.0,1257118.75,3056565,0,0.4112848082733395
0.015,1,9,7,10,3038697.0,54284.00000000001,3044676,0,0.017864235887948027
0.018,0,0,9,10,3308352.0,823865.6666666666,3308352,0,0.24902600045783116
0.018,0,1,9,10,3079312.0,373324.0,3079312,0,0.12123617223587607
0.018,0,2,9,10,3054827.0,328636.0,3066935,0,0.10757925080536476
0.018,0,3,9,10,3098313.0,361630.0,3098313,0,0.11671835608603778
0.018,0,4,9,10,3073478.0,1506480.75,3079529,0,0.4901550458470827
0.018,0,5,9,10,3181631.0,422001.00000000006,3181631,0,0.13263668854119162
0.018,0,6,9,10,3109289.0,90141.0,3121322,0,0.02899087218975142
0.018,0,7,9,10,3103828.0,843636.6666666667,3109903,0,0.2718052246022224
0.018,0,8,9,10,3164666.0,1526690.75,3182727,0,0.4824176548172856
0.018,0,9,9,10,2940888.0,84358.0,2940888,0,0.028684533379033816
0.018,1,0,9,10,3000995.0,935843.6666666667,3013101,0,0.3118444604761643
0.018,1,1,9,10,2940722.0,352680.0,2940722,0,0.11992973154211789
0.018,1,2,9,10,2826037.0,397977.0,2826037,0,0.1408251201240465
0.018,1,3,9,10,2904927.0,447817.3333333334,2910905,0,0.15415786122451042
0.018,1,4,9,10,3013111.0,1536808.25,3013111,0,0.5100403702352817
0.018,1,5,9,10,2970455.0,429683.3333333334,2970455,0,0.14465236246074537
0.018,1,6,9,10,3068031.0,126752.0,3068031,0,0.04131379376544761
0.018,1,7,9,10,3200518.0,964674.6666666666,3200518,0,0.30141204225899265
0.018,1,8,9,10,2983226.0,1560754.25,3013445,0,0.5231766718310983
